,country,continent,population,day,active_cases,critical_cases,total_cases,recovered_cases,1M_pop_cases,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests
219,Uruguay,South-America,3496016.0,2025-07-28,2503.0,18.0,1041111.0,1030944.0,297799.0,2192.0,7664.0,1749083.0,6114822.0
220,USA,North-America,334805269.0,2025-07-28,786167.0,940.0,111820082.0,109814428.0,333985.0,3642.0,1219487.0,3544901.0,1186851502.0
221,Uzbekistan,Asia,34382084.0,2025-07-28,10539.0,23.0,253662.0,241486.0,7378.0,48.0,1637.0,40077.0,1377915.0
222,Vanuatu,Oceania,321832.0,2025-07-28,29.0,55.32692307692308,12019.0,11976.0,37346.0,44.0,14.0,77606.0,24976.0
223,Vatican-City,Europe,799.0,2025-07-28,0.0,55.32692307692308,29.0,29.0,36295.0,1277.3482142857142,31297.616071428572,2155977.8779342724,32988287.854460094
224,Venezuela,South-America,29266991.0,2025-07-28,302.0,31.0,552695.0,546537.0,18885.0,200.0,5856.0,114771.0,3359014.0
225,Vietnam,Asia,98953541.0,2025-07-28,941018.0,55.32692307692308,11625195.0,10640971.0,117481.0,437.0,43206.0,867342.0,85826548.0
226,Wallis-and-Futuna,Oceania,10982.0,2025-07-28,3104.0,55.32692307692308,3550.0,438.0,323256.0,728.0,8.0,1867419.0,20508.0
227,Western-Sahara,Africa,626161.0,2025-07-28,0.0,55.32692307692308,10.0,9.0,16.0,2.0,1.0,2155977.8779342724,32988287.854460094
228,Yemen,Asia,31154867.0,2025-07-28,662.0,55.32692307692308,11945.0,9124.0,383.0,69.0,2159.0,10579.0,329592.0
229,Zambia,Africa,19470234.0,2025-07-28,3919.0,55.32692307692308,349304.0,341316.0,17940.0,209.0,4069.0,211244.0,4112961.0
230,Zimbabwe,Africa,15331428.0,2025-07-28,1731.0,12.0,266359.0,258888.0,17373.0,374.0,5740.0,164744.0,2525756.0
