,country,continent,population,day,active_cases,critical_cases,total_cases,recovered_cases,1M_pop_cases,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests
127,Marshall-Islands,Oceania,60057.0,2025-07-28,0.0,55.32692307692308,16138.0,16121.0,268711.0,283.0,17.0,2155977.8779342724,32988287.854460094
128,Martinique,North-America,374087.0,2025-07-28,33602.818681318684,55.32692307692308,230354.0,3097055.0276243095,615777.0,2946.0,1102.0,2215870.0,828928.0
129,Mauritania,Africa,4901981.0,2025-07-28,380.0,55.32692307692308,63848.0,62471.0,13025.0,203.0,997.0,206030.0,1009957.0
130,Mauritius,Africa,1274727.0,2025-07-28,696.0,55.32692307692308,43025.0,41278.0,33752.0,824.0,1051.0,281374.0,358675.0
131,Mayotte,Africa,286259.0,2025-07-28,33602.818681318684,55.32692307692308,42027.0,3097055.0276243095,146815.0,657.0,188.0,618038.0,176919.0
132,Mexico,North-America,131562772.0,2025-07-28,467986.0,55.32692307692308,7702809.0,6899865.0,58549.0,2546.0,334958.0,152124.0,20013810.0
133,Micronesia,Oceania,117489.0,2025-07-28,33602.818681318684,55.32692307692308,26547.0,3097055.0276243095,225953.0,553.0,65.0,701598.0,82430.0
134,Moldova,Europe,4013171.0,2025-07-28,33602.818681318684,55.32692307692308,635145.0,3097055.0276243095,158265.0,3044.0,12218.0,801437.0,3216305.0
135,Monaco,Europe,39783.0,2025-07-28,33602.818681318684,55.32692307692308,17181.0,3097055.0276243095,431868.0,1684.0,67.0,1976875.0,78646.0
136,Mongolia,Asia,3378078.0,2025-07-28,0.0,55.32692307692308,1011496.0,1009212.0,299429.0,676.0,2284.0,1193000.0,4030048.0
137,Montenegro,Europe,627950.0,2025-07-28,1902.0,55.32692307692308,296542.0,291794.0,472238.0,4532.0,2846.0,4410034.0,2769281.0
138,Montserrat,North-America,4965.0,2025-07-28,19.0,55.32692307692308,1403.0,1376.0,282578.0,1611.0,8.0,3577442.0,17762.0
139,Morocco,Africa,37772756.0,2025-07-28,33602.818681318684,55.32692307692308,1278992.0,3097055.0276243095,33860.0,432.0,16303.0,344191.0,13001033.0
140,Mozambique,Africa,33089461.0,2025-07-28,2676.0,11.0,233731.0,228805.0,7064.0,68.0,2250.0,41437.0,1371127.0
142,Myanmar,Asia,55227143.0,2025-07-28,2219.0,55.32692307692308,641873.0,620159.0,11622.0,353.0,19495.0,212061.0,11711514.0
143,Namibia,Africa,2633874.0,2025-07-28,1184.0,55.32692307692308,172389.0,167099.0,65451.0,1559.0,4106.0,403460.0,1062663.0
144,Nauru,Oceania,10903.0,2025-07-28,45.0,55.32692307692308,5393.0,5347.0,494635.0,92.0,1.0,1881042.0,20509.0
145,Nepal,Asia,30225582.0,2025-07-28,97.0,55.32692307692308,1003450.0,991322.0,33199.0,398.0,12031.0,200088.0,6047766.0
146,Netherlands,Europe,17211447.0,2025-07-28,195.0,55.32692307692308,8635786.0,8612599.0,501747.0,1336.0,22992.0,1509718.0,25984435.0
147,New-Caledonia,Oceania,290915.0,2025-07-28,33602.818681318684,55.32692307692308,80064.0,3097055.0276243095,275214.0,1079.0,314.0,340182.0,98964.0
148,New-Zealand,Oceania,4898203.0,2025-07-28,1623.0,55.32692307692308,2621111.0,2613791.0,535117.0,1163.0,5697.0,1586011.0,7768604.0
149,Nicaragua,North-America,6779100.0,2025-07-28,14041.0,55.32692307692308,18491.0,4225.0,2728.0,33.0,225.0,2155977.8779342724,32988287.854460094
150,Niger,Africa,26083660.0,2025-07-28,729.0,1.0,9931.0,8890.0,381.0,12.0,312.0,9759.0,254538.0
151,Nigeria,Africa,216746934.0,2025-07-28,4080.0,11.0,267188.0,259953.0,1233.0,15.0,3155.0,26339.0,5708974.0
152,Niue,Oceania,1622.0,2025-07-28,3.0,55.32692307692308,1059.0,1056.0,652898.0,1277.3482142857142,31297.616071428572,2155977.8779342724,32988287.854460094
153,North-Macedonia,Europe,2081304.0,2025-07-28,3523.0,55.32692307692308,350567.0,337068.0,168436.0,4793.0,9976.0,1069626.0,2226216.0
154,Norway,Europe,5511370.0,2025-07-28,0.0,55.32692307692308,1509732.0,1503094.0,273930.0,1204.0,6638.0,1996315.0,11002430.0
155,Oman,Asia,5323993.0,2025-07-28,33602.818681318684,55.32692307692308,399449.0,3097055.0276243095,75028.0,869.0,4628.0,4695724.0,25000000.0
156,Pakistan,Asia,229488994.0,2025-07-28,12583.0,55.32692307692308,1581936.0,1538689.0,6893.0,134.0,30664.0,133292.0,30589153.0
157,Palau,Oceania,18233.0,2025-07-28,4.0,55.32692307692308,6290.0,6276.0,344979.0,548.0,10.0,3917841.0,71434.0
158,Palestine,Asia,5345541.0,2025-07-28,159.0,55.32692307692308,621008.0,615445.0,116173.0,1011.0,5404.0,575907.0,3078533.0
159,Panama,North-America,4446964.0,2025-07-28,64.0,16.0,1059893.0,1051102.0,238341.0,1962.0,8727.0,1772585.0,7882622.0
160,Papua-New-Guinea,Oceania,9292169.0,2025-07-28,26.0,55.32692307692308,46864.0,46168.0,5043.0,72.0,670.0,26813.0,249149.0
161,Paraguay,South-America,7305843.0,2025-07-28,33602.818681318684,55.32692307692308,837602.0,3097055.0276243095,114648.0,2759.0,20155.0,363751.0,2657506.0
162,Peru,South-America,33684208.0,2025-07-28,0.0,4.0,4572667.0,4350506.0,135751.0,6595.0,222161.0,1158115.0,39010194.0
163,Philippines,Asia,112508994.0,2025-07-28,6138.0,55.32692307692308,4140383.0,4067381.0,36800.0,594.0,66864.0,320888.0,36102746.0
164,Poland,Europe,37739785.0,2025-07-28,33602.818681318684,55.32692307692308,6661991.0,3097055.0276243095,176524.0,3196.0,120598.0,1041970.0,39323709.0
165,Portugal,Europe,10140570.0,2025-07-28,127.0,61.0,5643062.0,5614809.0,556484.0,2774.0,28126.0,4549993.0,46139518.0
166,Qatar,Asia,2979915.0,2025-07-28,147.0,16.0,514524.0,513687.0,172664.0,232.0,690.0,1364257.0,4065369.0
167,R&eacute;union,Africa,908061.0,2025-07-28,33602.818681318684,55.32692307692308,494595.0,3097055.0276243095,544672.0,1014.0,921.0,1766027.0,1603660.0
168,Romania,Europe,19031335.0,2025-07-28,657.0,21.0,3529735.0,3460149.0,185470.0,3622.0,68929.0,1511122.0,28758667.0
169,Russia,Europe,145805947.0,2025-07-28,175641.0,55.32692307692308,24124215.0,23545818.0,165454.0,2762.0,402756.0,1875095.0,273400000.0
170,Rwanda,Africa,13600464.0,2025-07-28,11.0,55.32692307692308,133518.0,132039.0,9817.0,108.0,1468.0,442778.0,6021981.0
171,S-Korea,Asia,51329899.0,2025-07-28,0.0,55.32692307692308,34571873.0,34535939.0,673523.0,700.0,35934.0,307892.0,15804065.0
172,Saint-Helena,Africa,6115.0,2025-07-28,2164.0,55.32692307692308,2166.0,2.0,354211.0,1277.3482142857142,31297.616071428572,2155977.8779342724,32988287.854460094
173,Saint-Kitts-and-Nevis,North-America,53871.0,2025-07-28,0.0,55.32692307692308,6607.0,6559.0,122645.0,891.0,48.0,2356704.0,126958.0
174,Saint-Lucia,North-America,185113.0,2025-07-28,0.0,55.32692307692308,30215.0,29805.0,163225.0,2215.0,410.0,1139752.0,210983.0
175,Saint-Martin,North-America,39730.0,2025-07-28,33602.818681318684,55.32692307692308,12324.0,3097055.0276243095,310194.0,1586.0,63.0,2828643.0,112382.0
176,Saint-Pierre-Miquelon,North-America,5759.0,2025-07-28,1001.0,55.32692307692308,3452.0,2449.0,599410.0,347.0,2.0,4410488.0,25400.0
177,Samoa,Oceania,202239.0,2025-07-28,15370.0,55.32692307692308,17006.0,1605.0,84089.0,153.0,31.0,926612.0,187397.0
